Wall time,Step,Value
1692979561.001386,1,49.0
1692979638.9156232,21,216.0
1692979717.890617,41,392.0
1692979797.072217,61,576.0
1692979876.885192,81,760.0
1692979956.530395,101,942.0
1692980036.0516746,121,1125.0
1692980115.0379026,141,1309.0
1692980194.1679714,161,1490.0
1692980273.4107575,181,1671.0
1692980352.5403605,201,1854.0
1692980431.8037465,221,2035.0
1692980511.2621648,241,2217.0
1692980591.1205478,261,2401.0
1692980670.278228,281,2583.0
1692980749.6989038,301,2765.0
1692980829.141851,321,2947.0
1692980908.746109,341,3132.0
1692980988.2518702,361,3316.0
1692981068.0105577,381,3501.0
1692981147.2886856,401,3683.0
1692981226.7048645,421,3869.0
1692981306.3798847,441,4055.0
1692981385.7170818,461,4240.0
1692981465.7458956,481,4426.0
1692981545.3741534,501,4610.0
1692981624.8327231,521,4791.0
1692981703.901445,541,4967.0
1692981783.499419,561,5146.0
1692981863.032894,581,5333.0
1692981942.479993,601,5517.0
1692982022.5810912,621,5704.0
1692982102.777419,641,5892.0
1692982181.7989216,661,6069.0
1692982261.079078,681,6243.0
1692982339.0979495,701,6403.0
1692982415.9502184,721,6556.0
1692982493.6696036,741,6717.0
1692982572.2716763,761,6893.0
1692982650.4488018,781,7057.0
1692982729.9784703,801,7242.0
1692982809.344095,821,7432.0
1692982888.3190262,841,7618.0
1692982967.579649,861,7809.0
1692983047.1027257,881,7996.0
1692983126.3617039,901,8184.0
1692983205.5788999,921,8369.0
1692983285.3477025,941,8565.0
1692983364.761743,961,8764.0
1692983444.379107,981,8961.0
1692983523.7410657,1001,9158.0
1692983603.3136268,1021,9356.0
1692983682.791345,1041,9558.0
1692983761.8950782,1061,9753.0
1692983841.571078,1081,9946.0
1692983920.6743867,1101,10139.0
1692984000.014777,1121,10320.0
1692984079.8151178,1141,10523.0
1692984159.818045,1161,10712.0
1692984240.1575434,1181,10930.0
1692984320.5249858,1201,11129.0
1692984401.4674013,1221,11324.0
1692984482.2523024,1241,11526.0
1692984562.4192317,1261,11734.0
1692984642.4468315,1281,11921.0
1692984722.508127,1301,12117.0
1692984802.485103,1321,12316.0
1692984882.259058,1341,12518.0
1692984962.2406564,1361,12719.0
1692985041.9672217,1381,12940.0
1692985121.7364564,1401,13144.0
1692985201.6690426,1421,13354.0
1692985281.7153015,1441,13568.0
1692985361.4008598,1461,13761.0
1692985441.3315597,1481,13991.0
1692985521.2574043,1501,14184.0
1692985601.0624464,1521,14384.0
1692985680.609406,1541,14584.0
1692985760.4834428,1561,14818.0
1692985839.8856137,1581,15037.0
1692985919.4729395,1601,15350.0
1692985999.7292826,1621,15545.0
1692986079.6090631,1641,15769.0
1692986159.5643039,1661,15990.0
1692986239.2813916,1681,16228.0
1692986319.155225,1701,16481.0
1692986399.2900367,1721,16704.0
1692986479.6371024,1741,16936.0
1692986559.828889,1761,17183.0
1692986639.8945177,1781,17392.0
1692986720.607806,1801,17611.0
1692986800.8970852,1821,17836.0
1692986881.31407,1841,18052.0
1692986961.449375,1861,18295.0
1692987041.367925,1881,18527.0
1692987121.1697698,1901,18764.0
1692987201.7537942,1921,18982.0
1692987282.3038936,1941,19227.0
1692987362.7453122,1961,19477.0
1692987442.9928005,1981,19745.0
1692987523.7405872,2001,19965.0
1692987603.1839008,2021,20180.0
1692987683.5922441,2041,20476.0
1692987764.0471842,2061,20776.0
1692987844.446541,2081,21076.0
1692987925.230976,2101,21400.0
1692988005.7537637,2121,21710.0
1692988085.9868026,2141,21953.0
1692988166.6819842,2161,22250.0
1692988247.620571,2181,22537.0
1692988328.1094246,2201,22856.0
1692988408.572688,2221,23171.0
1692988489.0005653,2241,23452.0
1692988569.3071487,2261,23775.0
1692988649.8665493,2281,24105.0
1692988730.5529406,2301,24391.0
1692988811.6293046,2321,24675.0
1692988891.8352373,2341,24991.0
1692988971.6115787,2361,25324.0
