Wall time,Step,Value
1697691592.597803,1,300.0
1697691680.1558392,21,300.0
1697691768.1384299,41,300.0
1697691856.219777,61,300.0
1697691944.7632568,81,300.0
1697692032.0217748,101,300.0
1697692119.1190305,121,300.0
1697692206.5255764,141,300.0
1697692293.732315,161,300.0
1697692380.6576996,181,300.0
1697692468.6373053,201,300.0
1697692555.7805634,221,300.0
1697692643.5638804,241,300.0
1697692731.351348,261,300.0
1697692819.3855462,281,298.87274169921875
1697692906.8071532,301,299.36529541015625
1697692994.628445,321,299.94036865234375
1697693082.2049932,341,299.5136413574219
1697693170.1589,361,299.5520324707031
1697693257.5476158,381,298.11981201171875
1697693345.5526872,401,299.58905029296875
1697693433.4763649,421,298.5159912109375
1697693521.5513244,441,299.4615478515625
1697693609.3470533,461,299.8101806640625
1697693697.6847048,481,300.0
1697693785.1972823,501,300.0
1697693873.242768,521,297.213623046875
1697693960.7181551,541,299.97247314453125
1697694049.7955663,561,300.0
1697694137.9496217,581,298.3484191894531
1697694226.2619576,601,298.2690734863281
1697694313.1213439,621,297.7336730957031
1697694401.0107527,641,299.10406494140625
1697694488.8317125,661,298.6832580566406
1697694577.482764,681,299.41363525390625
1697694664.7299464,701,298.4590759277344
1697694752.3692417,721,299.3348693847656
1697694840.6308894,741,299.06304931640625
1697694928.6919816,761,299.270263671875
1697695015.978854,781,298.9862976074219
1697695103.729605,801,298.1141662597656
1697695192.6155882,821,297.1339416503906
1697695279.6009486,841,297.20361328125
1697695367.697634,861,297.8681945800781
1697695455.7229545,881,297.5466613769531
1697695544.0212889,901,296.0497741699219
1697695632.0235405,921,299.8591003417969
1697695720.3579252,941,299.9954833984375
1697695808.290289,961,297.8597412109375
1697695896.3487186,981,296.4215393066406
1697695983.9657354,1001,297.7982177734375
1697696072.2212596,1021,297.590087890625
1697696159.9068987,1041,298.5648193359375
1697696247.765092,1061,298.5181884765625
1697696334.4738922,1081,296.1936950683594
1697696422.3494167,1101,298.2443542480469
1697696509.324711,1121,296.5791931152344
1697696596.5159354,1141,296.7156066894531
1697696684.7654645,1161,298.8660583496094
1697696773.0908825,1181,296.62945556640625
1697696860.8997386,1201,296.0448303222656
1697696948.6507938,1221,296.8348083496094
1697697036.5051765,1241,298.2895812988281
1697697124.6803482,1261,299.71875
1697697211.8295743,1281,297.4908142089844
1697697299.6024697,1301,298.34222412109375
1697697386.5265083,1321,298.6072998046875
1697697474.1107922,1341,295.2844543457031
1697697562.0238388,1361,296.475341796875
1697697649.611083,1381,295.43243408203125
1697697737.398473,1401,298.1936950683594
1697697825.208398,1421,297.1883544921875
1697697913.6593277,1441,294.92034912109375
1697698001.323439,1461,295.4196472167969
1697698088.4577925,1481,293.74554443359375
1697698176.4131129,1501,295.5803527832031
1697698264.4977145,1521,295.63555908203125
1697698351.862092,1541,294.2920227050781
1697698439.5825355,1561,294.60443115234375
1697698526.8818061,1581,293.964599609375
1697698614.4983084,1601,291.5486755371094
1697698701.4707701,1621,293.95556640625
1697698788.8742096,1641,291.7510986328125
1697698877.1363556,1661,289.29742431640625
1697698963.9062107,1681,287.5570068359375
1697699051.2078469,1701,283.1810302734375
1697699138.9403584,1721,283.5762634277344
1697699225.9855328,1741,287.4434814453125
1697699313.1026452,1761,286.6113586425781
1697699400.5516508,1781,285.8138427734375
1697699487.9717689,1801,284.5172424316406
1697699575.040164,1821,294.4080810546875
1697699661.8379552,1841,286.478271484375
1697699748.5248175,1861,292.6177673339844
1697699836.190934,1881,287.82757568359375
1697699923.2148345,1901,290.6651916503906
1697700010.3528044,1921,288.1091613769531
1697700097.12491,1941,290.60443115234375
1697700183.9298935,1961,272.1120300292969
1697700271.2996302,1981,279.9451599121094
1697700358.2736177,2001,276.878662109375
1697700444.8975263,2021,291.2256774902344
1697700532.5198534,2041,277.17083740234375
1697700619.5216255,2061,281.1239318847656
1697700706.4276717,2081,273.80914306640625
1697700793.5691125,2101,273.5473327636719
1697700881.0323517,2121,262.14959716796875
1697700967.8806374,2141,272.3526916503906
1697701054.8813767,2161,277.899169921875
1697701141.4706073,2181,275.8818664550781
